Species,Treatment,Plot,LTE,Col,Day,Month,Year,Collection,Sequence,Location,Date,deacc.days,LTEOutliers,YearOutliers
LALA,-2.25,21,-25.00,211005SPRAA,5,10,21,SPRAA,AA,SPR,10/5/21,10,0,1
LALA,-2.25,21,-24.83,211005SPRAA,5,10,21,SPRAA,AA,SPR,10/5/21,10,0,1
LALA,-2.25,21,-24.75,211005SPRAA,5,10,21,SPRAA,AA,SPR,10/5/21,10,0,1
LALA,-2.25,21,-24.83,211005SPRAA,5,10,21,SPRAA,AA,SPR,10/5/21,10,0,1
LALA,-2.25,21,-18.00,211005SPRAA,5,10,21,SPRAA,AA,SPR,10/5/21,10,0,1
LALA,-2.25,21,-18.43,211005SPRAA,5,10,21,SPRAA,AA,SPR,10/5/21,10,0,1
LALA,-2.25,21,-24.06,211005SPRAA,5,10,21,SPRAA,AA,SPR,10/5/21,10,0,1
LALA,-2.25,21,-20.60,211011SPRAA,11,10,21,SPRAA,AA,SPR,10/11/21,16,0,1
LALA,-2.25,21,-22.92,211011SPRAA,11,10,21,SPRAA,AA,SPR,10/11/21,16,0,1
LALA,-2.25,21,-24.39,211011SPRAA,11,10,21,SPRAA,AA,SPR,10/11/21,16,0,1
LALA,-2.25,21,-23.30,211011SPRAA,11,10,21,SPRAA,AA,SPR,10/11/21,16,0,1
LALA,-2.25,21,-24.37,211011SPRAA,11,10,21,SPRAA,AA,SPR,10/11/21,16,0,1
LALA,-2.25,21,-25.32,211011SPRAA,11,10,21,SPRAA,AA,SPR,10/11/21,16,0,1
LALA,-2.25,21,-23.92,211011SPRAA,11,10,21,SPRAA,AA,SPR,10/11/21,16,0,1
LALA,-2.25,21,-24.54,211011SPRAA,11,10,21,SPRAA,AA,SPR,10/11/21,16,0,1
LALA,-2.25,21,-16.19,211011SPRAA,11,10,21,SPRAA,AA,SPR,10/11/21,16,0,1
LALA,-2.25,21,-25.57,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,-2.25,21,-25.85,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,-2.25,21,-26.27,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,-2.25,21,-26.57,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,-2.25,21,-26.90,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,-2.25,21,-27.28,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,-2.25,21,-27.38,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,-2.25,21,-27.45,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,-2.25,21,-27.68,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,-2.25,21,-27.73,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,-2.25,21,-27.83,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,-2.25,21,-27.88,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,-2.25,21,-28.01,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,-2.25,21,-28.13,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,-2.25,21,-28.31,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,-2.25,21,-28.38,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,-2.25,21,-28.63,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,-2.25,21,-28.78,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,-2.25,21,-28.83,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,-2.25,21,-28.98,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,-2.25,7,-26.70,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,-2.25,7,-27.05,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,-2.25,7,-27.23,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,-2.25,7,-27.38,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,-2.25,7,-27.53,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,-2.25,7,-27.66,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,-2.25,7,-27.88,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,-2.25,7,-28.36,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,-2.25,7,-28.59,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,-2.25,7,-28.62,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,-2.25,7,-28.77,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,-2.25,7,-28.87,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,-2.25,7,-29.17,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,-2.25,7,-29.20,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,-2.25,7,-29.37,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,-2.25,7,-29.50,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,-2.25,7,-29.60,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,-2.25,7,-29.73,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,-2.25,7,-29.93,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,-2.25,7,-30.26,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,0,19,-22.78,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,0,19,-23.06,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,0,19,-23.44,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,0,19,-23.69,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,0,19,-24.35,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,0,19,-24.47,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,0,19,-24.65,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,0,19,-24.88,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,0,19,-24.95,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,0,19,-25.03,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,0,19,-25.41,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,0,19,-25.49,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,0,19,-25.51,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,0,19,-25.61,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,0,19,-25.71,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,0,19,-25.87,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,0,19,-26.12,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,0,19,-26.37,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,0,19,-26.49,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,0,19,-26.75,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,0,6,-28.11,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,0,6,-28.26,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,0,6,-28.43,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,0,6,-29.06,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,0,6,-29.24,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,0,6,-30.40,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,0,6,-30.45,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,0,6,-30.67,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,0,6,-30.93,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,2.25,11,-26.68,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,2.25,11,-26.75,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,2.25,11,-26.95,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,2.25,11,-27.28,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,2.25,11,-27.56,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,2.25,11,-27.86,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,2.25,11,-27.88,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,2.25,11,-28.09,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,2.25,11,-28.31,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,2.25,11,-28.49,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,2.25,20,-25.15,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,2.25,20,-25.82,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,2.25,20,-26.52,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,2.25,20,-26.82,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,2.25,20,-27.35,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,2.25,20,-27.68,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,2.25,20,-28.21,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,2.25,20,-28.43,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,2.25,20,-28.93,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,2.25,20,-28.96,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,2.25,20,-29.06,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,2.25,20,-29.26,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,2.25,20,-29.41,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,2.25,20,-29.61,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,2.25,20,-29.71,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,2.25,20,-29.96,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,2.25,20,-30.11,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,2.25,20,-30.41,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,2.25,20,-30.61,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
LALA,2.25,20,-30.81,211023SPRAB,23,10,21,SPRAB,AB,SPR,10/23/21,0,0,1
